agent_id,win,n,distinct_nf,distinct_ep,err_rate,get_frac,write_frac,mean_resp,max_resp,n_orphan,hour,label,attack_type,tgt_set,distinct_ep_roll,distinct_nf_roll,distinct_target_roll,err_count_roll,n_roll,resp_roll_max,rule,rule_reason,ml,risk,decision,nfs_touched
orch-session-mgr,2026-08-07 22:00:00,9,3,6,0.0,0.1111111111111111,0.8888888888888888,775.4444444444445,1123,0,22,legit,none,"{'SUPI-0052', 'SUPI-0042'}",6,3,6,0.0,34,1123,0.0,none,0.0,0.0,PASS,"AMF,PCF,SMF"
closed-loop-assurance,2026-08-04 17:19:00,8,3,4,0.0,0.0,1.0,549.625,874,0,17,legit,none,"{'SUPI-0064', 'SUPI-0313', 'SUPI-0236', 'SUPI-0360', 'SUPI-0023', 'SUPI-0089'}",6,3,18,1.0,39,874,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
provisioning-agent,2026-08-05 10:20:00,1,1,1,0.0,0.0,1.0,1371.0,1371,0,10,legit,none,{'SUPI-0226'},2,2,9,1.0,10,1371,0.0,none,0.0,0.0,PASS,NEF
closed-loop-assurance,2026-08-04 12:43:00,16,3,3,0.0625,0.0,1.0,563.0625,853,0,12,legit,none,"{'SUPI-0361', 'SUPI-0400', 'SUPI-0224', 'SUPI-0143', 'SUPI-0195', 'SUPI-0016', 'SUPI-0206', 'SUPI-0297'}",5,3,28,2.0,77,899,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
orch-session-mgr,2026-08-06 22:29:00,9,2,4,0.1111111111111111,0.0,1.0,574.5555555555555,1013,0,22,legit,none,"{'SUPI-0237', 'SUPI-0251'}",5,3,10,1.0,47,1186,0.0,none,0.0,0.0,PASS,"PCF,SMF"
oss-orchestration-hub,2026-08-03 04:45:00,13,5,7,0.0,0.46153846153846156,0.5384615384615384,592.9230769230769,869,0,4,legit,none,"{'SUPI-0038', 'SUPI-0203', 'SUPI-0212', 'SUPI-0028', 'SUPI-0346'}",10,6,17,0.0,60,989,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,SMF,UDM"
orch-session-mgr,2026-08-04 03:30:00,12,2,4,0.0,0.0,1.0,615.9166666666666,1183,0,3,legit,none,"{'SUPI-0256', 'SUPI-0335', 'SUPI-0114'}",5,2,11,0.0,62,1183,0.0,none,0.0,0.0,PASS,"PCF,SMF"
closed-loop-assurance,2026-08-06 18:29:00,16,3,3,0.0,0.0,1.0,567.25,790,0,18,legit,none,"{'SUPI-0064', 'SUPI-0254', 'SUPI-0344', 'SUPI-0081', 'SUPI-0127', 'SUPI-0103', 'SUPI-0133', 'SUPI-0029', 'SUPI-0281', 'SUPI-0381'}",4,3,27,1.0,82,893,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
closed-loop-assurance,2026-08-07 21:32:00,14,3,6,0.0,0.07142857142857142,0.9285714285714286,490.85714285714283,804,0,21,legit,none,"{'SUPI-0036', 'SUPI-0217', 'SUPI-0080', 'SUPI-0075', 'SUPI-0357', 'SUPI-0289', 'SUPI-0362', 'SUPI-0218'}",7,3,25,0.0,72,894,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
nrf-heartbeat-svc,2026-08-04 02:31:00,7,1,3,0.0,0.42857142857142855,0.5714285714285714,178.28571428571428,293,0,2,legit,none,set(),3,1,0,0.0,39,294,0.0,none,0.0,0.0,PASS,NRF
nrf-heartbeat-svc,2026-08-03 06:36:00,5,1,2,0.0,0.0,1.0,149.8,229,0,6,legit,none,set(),3,1,0,0.0,22,286,0.0,none,0.0,0.0,PASS,NRF
orch-session-mgr,2026-08-07 12:24:00,6,2,4,0.0,0.0,1.0,755.6666666666666,1163,0,12,legit,none,{'SUPI-0102'},4,2,5,1.0,27,1196,0.0,none,0.0,0.0,PASS,"PCF,SMF"
policy-audit-svc,2026-08-06 09:33:00,3,1,2,0.0,0.0,1.0,277.0,363,0,9,legit,none,"{'SUPI-0070', 'SUPI-0235', 'SUPI-0232'}",2,1,9,0.0,11,381,0.0,none,0.0,0.0,PASS,PCF
provisioning-agent,2026-08-07 17:37:00,4,2,2,0.25,0.0,1.0,880.5,1313,0,17,legit,none,"{'SUPI-0150', 'SUPI-0061', 'SUPI-0297', 'SUPI-0037'}",3,2,15,3.0,20,1423,0.0,none,0.0,0.0,PASS,"NEF,UDM"
provisioning-agent,2026-08-05 07:18:00,3,2,3,0.0,0.3333333333333333,0.6666666666666666,1013.0,1362,0,7,legit,none,"{'SUPI-0276', 'SUPI-0218', 'SUPI-0106'}",3,2,13,1.0,17,1445,0.0,none,0.0,0.0,PASS,"NEF,UDM"
policy-audit-svc,2026-08-05 09:32:00,2,1,2,0.0,0.0,1.0,279.0,336,0,9,legit,none,"{'SUPI-0120', 'SUPI-0369'}",2,1,8,0.0,10,382,0.0,none,0.0,0.0,PASS,PCF
nrf-heartbeat-svc,2026-08-04 03:23:00,4,1,2,0.0,0.0,1.0,234.0,283,0,3,legit,none,set(),3,1,0,0.0,18,283,0.0,none,0.0,0.0,PASS,NRF
oss-orchestration-hub,2026-08-03 16:16:00,21,6,6,0.0,0.2857142857142857,0.7142857142857143,552.3809523809524,931,0,16,legit,none,"{'SUPI-0086', 'SUPI-0269', 'SUPI-0009', 'SUPI-0018', 'SUPI-0121', 'SUPI-0127', 'SUPI-0168', 'SUPI-0015', 'SUPI-0252', 'SUPI-0151'}",10,6,23,0.0,103,989,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
nrf-heartbeat-svc,2026-08-04 02:52:00,8,1,2,0.0,0.0,1.0,193.125,270,0,2,legit,none,set(),2,1,0,0.0,39,293,0.0,none,0.0,0.0,PASS,NRF
orch-session-mgr,2026-08-03 15:58:00,12,3,5,0.0,0.0,1.0,758.0833333333334,1143,0,15,legit,none,"{'SUPI-0017', 'SUPI-0297'}",7,3,13,1.0,63,1148,0.0,none,0.0,0.0,PASS,"AMF,PCF,SMF"
nrf-heartbeat-svc,2026-08-05 19:26:00,8,1,2,0.0,0.0,1.0,200.5,291,0,19,legit,none,set(),3,1,0,0.0,40,291,0.0,none,0.0,0.0,PASS,NRF
oss-orchestration-hub,2026-08-07 06:33:00,14,6,7,0.0,0.35714285714285715,0.6428571428571429,592.2142857142857,968,0,6,legit,none,"{'SUPI-0162', 'SUPI-0203', 'SUPI-0078', 'SUPI-0215', 'SUPI-0017', 'SUPI-0316', 'SUPI-0367'}",11,6,19,1.0,68,992,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
oss-orchestration-hub,2026-08-04 01:55:00,13,6,6,0.0,0.3076923076923077,0.6923076923076923,602.9230769230769,987,0,1,legit,none,"{'SUPI-0270', 'SUPI-0322', 'SUPI-0255', 'SUPI-0190', 'SUPI-0334', 'SUPI-0264'}",12,6,21,1.0,67,987,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
provisioning-agent,2026-08-04 06:29:00,3,2,2,0.0,0.0,1.0,591.3333333333334,764,0,6,legit,none,"{'SUPI-0047', 'SUPI-0066', 'SUPI-0055'}",2,2,13,0.0,15,1282,0.0,none,0.0,0.0,PASS,"NEF,UDM"
policy-audit-svc,2026-08-05 12:10:00,2,1,2,0.0,0.0,1.0,202.0,291,0,12,legit,none,"{'SUPI-0326', 'SUPI-0125'}",2,1,9,0.0,11,338,0.0,none,0.0,0.0,PASS,PCF
oss-orchestration-hub,2026-08-04 12:41:00,14,6,6,0.0,0.35714285714285715,0.6428571428571429,672.7857142857143,995,0,12,legit,none,"{'SUPI-0342', 'SUPI-0248', 'SUPI-0221', 'SUPI-0367', 'SUPI-0253', 'SUPI-0073'}",7,6,20,2.0,68,995,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
nrf-heartbeat-svc,2026-08-05 06:57:00,7,1,2,0.0,0.0,1.0,214.57142857142858,289,0,6,legit,none,set(),3,1,0,0.0,37,289,0.0,none,0.0,0.0,PASS,NRF
closed-loop-assurance,2026-08-05 05:58:00,18,3,5,0.05555555555555555,0.0,1.0,467.55555555555554,766,0,5,legit,none,"{'SUPI-0146', 'SUPI-0276', 'SUPI-0148', 'SUPI-0390', 'SUPI-0362', 'SUPI-0337', 'SUPI-0250'}",6,3,24,1.0,91,861,0.0,none,0.0,0.0,PASS,"AMF,NEF,PCF"
nrf-heartbeat-svc,2026-08-03 02:10:00,4,1,2,0.0,0.0,1.0,205.0,275,0,2,legit,none,set(),2,1,0,0.0,20,291,0.0,none,0.0,0.0,PASS,NRF
oss-orchestration-hub,2026-08-03 04:49:00,12,6,6,0.0,0.25,0.75,525.5,870,0,4,legit,none,"{'SUPI-0038', 'SUPI-0346', 'SUPI-0132', 'SUPI-0017', 'SUPI-0290'}",11,6,18,0.0,61,984,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
orch-session-mgr,2026-08-05 03:40:00,10,3,5,0.0,0.1,0.9,653.0,1194,0,3,legit,none,"{'SUPI-0116', 'SUPI-0185'}",7,3,13,0.0,54,1197,0.0,none,0.0,0.0,PASS,"AMF,PCF,SMF"
nrf-heartbeat-svc,2026-08-03 21:12:00,4,1,2,0.0,0.0,1.0,172.75,264,0,21,legit,none,set(),3,1,0,0.0,23,293,0.0,none,0.0,0.0,PASS,NRF
policy-audit-svc,2026-08-03 13:57:00,1,1,1,0.0,0.0,1.0,336.0,336,0,13,legit,none,{'SUPI-0350'},2,1,8,0.0,8,367,0.0,none,0.0,0.0,PASS,PCF
provisioning-agent,2026-08-07 06:45:00,5,2,2,0.0,0.0,1.0,684.0,975,0,6,legit,none,"{'SUPI-0360', 'SUPI-0285', 'SUPI-0008', 'SUPI-0053', 'SUPI-0232'}",3,2,19,2.0,26,1302,0.0,none,0.0,0.0,PASS,"NEF,UDM"
oss-orchestration-hub,2026-08-04 13:03:00,12,6,8,0.0,0.25,0.75,456.4166666666667,881,0,13,legit,none,"{'SUPI-0075', 'SUPI-0105', 'SUPI-0278', 'SUPI-0095', 'SUPI-0196'}",10,6,21,0.0,62,979,0.0,none,0.0,0.0,PASS,"AMF,NEF,NRF,PCF,SMF,UDM"
